FullStreetName,file,n_points,n_inlets,n_sags,n_served,n_unserved,length_m,kb
ISABEL AV,ISABEL_AV.html,8177,252,11,7,4,8135.8,466.4
HANSEN RD,HANSEN_RD.html,3033,136,1,1,0,3258.2,202.6
CONCANNON BL,CONCANNON_BL.html,5677,115,9,8,1,5654.6,329.1
RRX,RRX.html,20283,93,11,0,11,28130.2,957.5
PORTOLA AV,PORTOLA_AV.html,4925,88,2,2,0,5649.6,282.7
SOUTHFRONT RD,SOUTHFRONT_RD.html,4610,83,6,4,2,4722.1,272.0
UNNAMED,UNNAMED.html,18427,75,29,7,22,63049.6,890.7
FIRST ST,FIRST_ST.html,6184,71,9,2,7,13218.8,342.4
HELIGAN LN,HELIGAN_LN.html,815,69,0,0,0,803.0,84.8
PATTERSON PASS RD,PATTERSON_PASS_RD.html,4188,68,7,6,1,4177.0,248.8
LAS POSITAS RD,LAS_POSITAS_RD.html,6903,67,11,8,3,7623.1,376.7
W JACK LONDON BL,W_JACK_LONDON_BL.html,4037,66,5,3,2,4034.5,245.7
TRANQUILITY CI,TRANQUILITY_CI.html,861,60,1,1,0,855.8,92.9
FORGET ME NOT CM,FORGET_ME_NOT_CM.html,659,57,1,1,0,657.0,81.8
STOCKTON LP,STOCKTON_LP.html,921,56,1,1,0,910.8,93.4
SANTORINA DR,SANTORINA_DR.html,611,53,0,0,0,606.9,73.4
BRISA ST,BRISA_ST.html,1946,52,2,2,0,1940.8,140.3
CHARLOTTE WY,CHARLOTTE_WY.html,3413,50,8,6,2,3389.8,214.7
ARROYO RD,ARROYO_RD.html,3009,48,4,3,1,2989.8,192.5
I580 WB,I580_WB.html,8888,47,5,4,1,12864.5,457.2
HOLMES ST,HOLMES_ST.html,3421,47,7,6,1,3390.0,212.3
S VASCO RD,S_VASCO_RD.html,5069,46,9,5,4,5031.8,287.7
DISCOVERY DR,DISCOVERY_DR.html,1308,45,3,3,0,1303.9,110.8
PRESTON AV,PRESTON_AV.html,2196,43,1,1,0,2771.1,150.9
COWAN WY,COWAN_WY.html,642,43,1,1,0,639.8,79.7
SELBY LN,SELBY_LN.html,654,43,0,0,0,690.9,74.5
SCENIC AV,SCENIC_AV.html,2608,41,1,1,0,2588.8,165.0
PERSIMMON CM,PERSIMMON_CM.html,436,40,0,0,0,433.2,63.6
KELLOGG LP,KELLOGG_LP.html,519,40,0,0,0,514.4,67.3
RIVERS BEND CI,RIVERS_BEND_CI.html,1157,39,2,2,0,1150.3,103.6
DOVECOTE LN,DOVECOTE_LN.html,550,38,0,0,0,546.3,68.5
I580 EB,I580_EB.html,8643,36,4,2,2,12851.3,445.5
EAST AV,EAST_AV.html,6067,35,0,0,0,6036.4,310.6
MINES RD,MINES_RD.html,1673,35,1,1,0,1662.9,127.9
NATIONAL DR,NATIONAL_DR.html,1748,35,1,1,0,1743.4,130.5
MURDELL LN,MURDELL_LN.html,2563,35,4,4,0,2536.3,164.5
N VASCO RD,N_VASCO_RD.html,1969,35,7,5,2,1952.1,145.4
LOMITAS AV,LOMITAS_AV.html,1483,35,1,1,0,1466.9,119.0
BLUEBELL DR,BLUEBELL_DR.html,2796,34,5,4,1,2773.7,188.9
GARAVENTA RANCH RD,GARAVENTA_RANCH_RD.html,1140,33,1,1,0,1128.5,101.1
SANDALWOOD DR,SANDALWOOD_DR.html,346,33,0,0,0,343.6,58.5
CENTRAL AV,CENTRAL_AV.html,1014,33,2,2,0,1004.3,93.8
COOPER CI,COOPER_CI.html,382,32,0,0,0,380.4,59.5
GREENVILLE RD,GREENVILLE_RD.html,3285,32,2,1,1,3718.3,204.6
ROBERTSON PARK RD,ROBERTSON_PARK_RD.html,1941,32,2,1,1,1940.3,144.4
OLD OAK RD,OLD_OAK_RD.html,1716,32,2,2,0,1705.4,127.7
N MURRIETA BL,N_MURRIETA_BL.html,2415,31,2,2,0,2396.4,159.3
S LIVERMORE AV,S_LIVERMORE_AV.html,2373,31,0,0,0,2351.4,152.7
NORMANDY CI,NORMANDY_CI.html,962,31,0,0,0,952.2,86.4
TIFFANY CM,TIFFANY_CM.html,638,31,0,0,0,619.7,64.6
REES CI,REES_CI.html,391,30,1,1,0,388.5,65.7
N MINES RD,N_MINES_RD.html,1862,30,3,2,1,1857.6,144.1
FLORA CM,FLORA_CM.html,237,30,1,1,0,234.7,59.0
LEXINGTON WY,LEXINGTON_WY.html,1355,30,1,1,0,1340.9,111.8
STAGHORN WY,STAGHORN_WY.html,397,29,1,1,0,390.8,59.3
BASSWOOD CM,BASSWOOD_CM.html,342,29,0,0,0,339.9,57.7
CAMDEN CM,CAMDEN_CM.html,280,29,0,0,0,278.1,54.8
WHITE CRANE CI,WHITE_CRANE_CI.html,408,28,0,0,0,405.9,60.5
DECKER LN,DECKER_LN.html,599,27,1,0,1,595.0,75.4
