FullStreetName,file,n_points,n_inlets,n_sags,n_served,n_unserved,length_m,kb
ISABEL AV,ISABEL_AV.html,8177,252,11,7,4,8135.8,456.1
HANSEN RD,HANSEN_RD.html,3033,136,2,2,0,3258.2,198.0
CONCANNON BL,CONCANNON_BL.html,5677,115,11,9,2,5654.6,322.0
RRX,RRX.html,20283,93,11,1,10,28130.2,939.9
PORTOLA AV,PORTOLA_AV.html,4925,88,5,5,0,5649.6,276.3
SOUTHFRONT RD,SOUTHFRONT_RD.html,4610,83,8,5,3,4722.1,265.7
UNNAMED,UNNAMED.html,18427,75,49,8,41,63049.6,870.4
FIRST ST,FIRST_ST.html,6184,71,10,3,7,13218.8,334.1
HELIGAN LN,HELIGAN_LN.html,815,69,0,0,0,803.0,83.5
PATTERSON PASS RD,PATTERSON_PASS_RD.html,4188,68,8,7,1,4177.0,243.0
LAS POSITAS RD,LAS_POSITAS_RD.html,6903,67,17,10,7,7623.1,368.7
W JACK LONDON BL,W_JACK_LONDON_BL.html,4037,66,5,3,2,4034.5,239.6
TRANQUILITY CI,TRANQUILITY_CI.html,861,60,1,1,0,855.8,91.6
FORGET ME NOT CM,FORGET_ME_NOT_CM.html,659,57,2,2,0,657.0,81.0
STOCKTON LP,STOCKTON_LP.html,921,56,1,1,0,910.8,91.9
SANTORINA DR,SANTORINA_DR.html,611,53,1,1,0,606.9,78.8
BRISA ST,BRISA_ST.html,1946,52,3,3,0,1940.8,137.4
CHARLOTTE WY,CHARLOTTE_WY.html,3413,50,11,8,3,3389.8,209.9
ARROYO RD,ARROYO_RD.html,3009,48,4,3,1,2989.8,187.8
I580 WB,I580_WB.html,8888,47,6,4,2,12864.5,446.6
HOLMES ST,HOLMES_ST.html,3421,47,9,7,2,3390.0,207.5
S VASCO RD,S_VASCO_RD.html,5069,46,11,5,6,5031.8,280.7
DISCOVERY DR,DISCOVERY_DR.html,1308,45,3,3,0,1303.9,108.7
PRESTON AV,PRESTON_AV.html,2196,43,2,2,0,2771.1,147.4
COWAN WY,COWAN_WY.html,642,43,1,1,0,639.8,78.8
SELBY LN,SELBY_LN.html,654,43,0,0,0,690.9,73.6
SCENIC AV,SCENIC_AV.html,2608,41,1,1,0,2588.8,160.7
PERSIMMON CM,PERSIMMON_CM.html,436,40,0,0,0,433.2,63.0
KELLOGG LP,KELLOGG_LP.html,519,40,0,0,0,514.4,66.6
RIVERS BEND CI,RIVERS_BEND_CI.html,1157,39,4,4,0,1150.3,102.0
DOVECOTE LN,DOVECOTE_LN.html,550,38,0,0,0,546.3,67.7
I580 EB,I580_EB.html,8643,36,4,2,2,12851.3,434.7
EAST AV,EAST_AV.html,6067,35,1,0,1,6036.4,308.6
MINES RD,MINES_RD.html,1673,35,1,1,0,1662.9,125.3
NATIONAL DR,NATIONAL_DR.html,1748,35,1,1,0,1743.4,127.6
MURDELL LN,MURDELL_LN.html,2563,35,5,5,0,2536.3,160.7
N VASCO RD,N_VASCO_RD.html,1969,35,8,5,3,1952.1,142.4
LOMITAS AV,LOMITAS_AV.html,1483,35,1,1,0,1466.9,116.5
BLUEBELL DR,BLUEBELL_DR.html,2796,34,5,3,2,2773.7,184.5
GARAVENTA RANCH RD,GARAVENTA_RANCH_RD.html,1140,33,2,2,0,1128.5,99.5
SANDALWOOD DR,SANDALWOOD_DR.html,346,33,0,0,0,343.6,58.1
CENTRAL AV,CENTRAL_AV.html,1014,33,3,3,0,1004.3,92.4
COOPER CI,COOPER_CI.html,382,32,0,0,0,380.4,59.1
GREENVILLE RD,GREENVILLE_RD.html,3285,32,2,1,1,3718.3,199.5
ROBERTSON PARK RD,ROBERTSON_PARK_RD.html,1941,32,2,1,1,1940.3,141.3
